CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKONGC29-JUN-2023,156.5000000,157.1500000,157.1500000,154.1000000,154.5500000,154.5500000,-1.2400000,12202.0000000,9944550.0000000,2583.0000000,1539445215.0000000
FUTSTKM&MFIN31-AUG-2023,289.7000000,0.0000000,0.0000000,0.0000000,,288.1000000,-0.5500000,33.0000000,0.0000000,0.0000000,0.0000000
FUTSTKUPL29-JUN-2023,692.4000000,692.6000000,694.3000000,679.3500000,681.2500000,681.2500000,-1.6100000,13849.0000000,3465800.0000000,2666.0000000,2379601510.0000000
FUTSTKLAURUSLABS29-JUN-2023,348.1000000,349.3500000,351.7000000,340.0500000,341.3500000,341.3500000,-1.9300000,10603.0000000,3048100.0000000,2771.0000000,1051831220.0000000
FUTSTKBANDHANBNK27-JUL-2023,261.3000000,261.9000000,265.0000000,257.6000000,258.3000000,258.3000000,-1.1400000,320.0000000,327500.0000000,131.0000000,85463250.0000000
FUTSTKWIPRO29-JUN-2023,397.6500000,397.7000000,398.0000000,393.1000000,394.0500000,394.0500000,-0.9000000,18563.0000000,6118500.0000000,4079.0000000,2416095300.0000000
FUTSTKHDFC31-AUG-2023,2687.2000000,2690.0000000,2692.1000000,2690.0000000,2690.0000000,2696.6500000,0.3500000,160.0000000,2700.0000000,9.0000000,7266090.0000000
FUTSTKM&MFIN29-JUN-2023,285.6000000,283.1000000,287.5000000,279.6000000,284.0000000,284.0000000,-0.5600000,6489.0000000,9320000.0000000,2330.0000000,2652817800.0000000
FUTSTKDEEPAKNTR29-JUN-2023,2070.7500000,2070.5500000,2083.4000000,2000.3000000,2007.3000000,2007.3000000,-3.0600000,8903.0000000,775750.0000000,3103.0000000,1577699387.5000000
FUTSTKIRCTC29-JUN-2023,647.1000000,646.9000000,650.0000000,641.5000000,642.7000000,642.7000000,-0.6700000,14686.0000000,1159375.0000000,1325.0000000,747937356.2500000
FUTSTKBSOFT29-JUN-2023,335.0500000,334.3500000,338.3000000,328.4500000,329.3000000,329.3000000,-1.7100000,4104.0000000,2296000.0000000,1148.0000000,761836800.0000000
