SYMBOL,PIVOT,BOTTOMCPR,TOPCPR,MOMENTUMOFSTOCK
EMBASSY,304.69,304.77,304.61,High
EMIL,72.75,72.68,72.83,High
EMKAY,71.4,71.07,71.72,Low
EMMBI,93.45,93.82,93.07,Low
EMUDHRA,398.23,396.73,399.74,Low
ENDURANCE,1394.57,1395.1,1394.03,Low
ENERGYDEV,17.4,17.45,17.35,High
ENGINERSIN,99.0,98.28,99.72,Low
ENIL,119.73,119.55,119.92,Low
EPL,189.02,189.03,189.01,High
EQUITASBNK,81.23,81.25,81.22,High
ERFLNCDI,916.2,914.9,917.5,Low
ERFLNCDI,916.0,916.0,916.0,High
ERIS,623.22,624.1,622.33,Low
